city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
306,nara,75,JP,1530248400,52,34.68,135.8,91.4,14.99
307,saint-francois,0,FR,1530248400,72,46.42,3.91,60.8,3.36
308,ixtapa,75,MX,1530247320,78,20.71,-105.21,82.4,1.25
309,ewa beach,90,US,1530249060,83,21.32,-158.01,80.6,3.36
310,moose factory,75,CA,1530248400,100,51.26,-80.61,51.8,5.82
311,talnakh,44,RU,1530250467,53,69.49,88.39,65.84,8.75
312,pando,92,UY,1530248400,87,-34.72,-55.96,53.6,3.36
313,agua verde,75,MX,1530247620,69,22.89,-105.97,82.4,4.7
314,beyneu,0,KZ,1530250467,21,45.32,55.19,97.34,6.4
315,roald,75,NO,1530249600,87,62.58,6.12,53.6,10.29
316,iwata,92,JP,1530250468,100,34.71,137.85,75.11,5.39
317,palmer,75,AU,1530248400,87,-34.85,139.16,51.8,21.92
318,nome,1,US,1530249300,88,30.04,-94.42,82.4,3.36
319,jalu,0,LY,1530250468,56,29.03,21.55,73.31,7.52
320,boda,92,BD,1530250469,100,26.2,88.56,79.16,3.71
321,mungwi,0,ZM,1530250469,55,-10.17,31.37,58.64,7.07
322,labuhan,92,ID,1530250469,89,-2.54,115.51,77.63,3.04
323,aripuana,0,BR,1530250469,82,-9.17,-60.63,72.86,2.04
324,caucaia,75,BR,1530248400,74,-3.73,-38.66,78.8,16.11
325,sao felix do xingu,0,BR,1530250469,64,-6.64,-51.99,76.37,2.71
326,nampula,75,MZ,1530248400,100,-15.12,39.26,66.2,4.7
327,khani,40,GE,1530248400,45,41.96,42.96,84.2,9.17
328,marzuq,0,YE,1530250470,21,14.4,46.47,88.43,4.16
329,kirakira,92,SB,1530250470,100,-10.46,161.92,79.61,20.04
330,prince albert,40,CA,1530248400,67,53.2,-105.75,57.2,2.24
331,cerrito,40,CO,1530248400,100,6.84,-72.7,66.2,4.7
332,port lincoln,80,AU,1530250471,100,-34.72,135.86,54.23,23.17
333,noumea,90,NC,1530248400,53,-22.28,166.46,75.2,6.93
334,tutoia,8,BR,1530250471,96,-2.76,-42.27,71.96,2.48
335,guerande,0,FR,1530248400,87,48.47,-4.17,62.6,5.82
336,kaitangata,48,NZ,1530250471,90,-46.28,169.85,44.96,5.39
337,buta,56,CD,1530250471,92,2.79,24.73,73.13,2.93
338,delta del tigre,92,UY,1530248400,87,-34.76,-56.41,53.6,3.36
339,aubel,0,BE,1530249900,72,50.7,5.86,62.6,9.17
340,manoel urbano,0,BR,1530250472,82,-8.84,-69.26,72.59,1.92
341,kavieng,24,PG,1530250472,100,-2.57,150.8,83.39,4.5
342,chaoyang,20,CN,1530250472,40,41.58,120.44,91.58,3.15
343,kulotino,0,RU,1530250472,44,58.46,33.37,77.36,8.19
344,mayumba,76,GA,1530250472,98,-3.44,10.65,71.06,3.6
345,sioux lookout,5,CA,1530248400,93,50.1,-91.92,68.0,2.59
346,samarai,92,PG,1530250473,100,-10.62,150.67,78.08,21.16
347,mahon,0,IE,1530248400,59,51.89,-8.4,62.6,4.7
348,suntar,8,RU,1530250473,53,62.16,117.65,73.22,6.17
349,norman wells,75,CA,1530248400,71,65.28,-126.83,57.2,8.05
350,nago,0,IT,1530247800,77,45.88,10.89,68.0,2.24
351,maragogi,68,BR,1530250474,99,-9.01,-35.22,72.23,7.18
352,ulladulla,75,AU,1530244800,47,-35.36,150.48,59.0,18.34
353,pisco,90,PE,1530248400,82,-13.71,-76.2,62.6,12.75
354,zhangye,48,CN,1530250474,86,38.94,100.46,77.99,4.61
355,biloela,100,AU,1530250474,87,-24.4,150.51,66.92,4.94
356,papara,75,BR,1530248400,74,-3.98,-38.73,78.8,16.11
357,prince rupert,90,CA,1530248460,100,54.32,-130.32,53.6,4.7
358,vysha,0,RU,1530250475,55,53.85,42.38,77.81,4.38
359,indramayu,68,ID,1530250475,66,-4.05,103.78,79.79,3.38
360,kamaishi,75,JP,1530248400,55,39.28,141.86,91.4,5.82
361,zhangjiakou,92,CN,1530250475,40,40.77,114.88,78.17,5.39
362,vardo,1,US,1530248100,73,39.62,-77.74,75.2,6.93
363,busca,75,IT,1530248400,77,44.52,7.47,62.6,4.7
364,la ronge,20,CA,1530248400,87,55.1,-105.3,50.0,4.61
365,antofagasta,90,CL,1530248400,66,-23.65,-70.4,55.4,4.7
366,staszow,48,PL,1530250476,84,50.56,21.17,68.63,9.53
367,kruisfontein,0,ZA,1530250476,95,-34.0,24.73,55.94,10.42
368,san lazaro,75,BZ,1530247200,83,18.04,-88.66,82.4,4.38
369,haines junction,44,CA,1530250476,47,60.75,-137.51,50.0,2.04
370,kovacica,75,RS,1530248400,93,45.11,20.62,66.2,8.05
371,gushikawa,75,JP,1530249240,79,26.35,127.87,89.6,9.17
372,paamiut,92,GL,1530250477,100,61.99,-49.67,38.12,8.75
373,mount gambier,68,AU,1530250369,81,-37.83,140.78,50.54,9.64
374,yarmouth,0,GB,1530249600,82,50.71,-1.5,60.8,6.93
375,tamasopo,80,MX,1530250477,98,21.92,-99.39,66.02,2.59
376,dobryatino,0,RU,1530250477,59,55.51,41.32,78.26,4.72
377,quatre cocos,20,MU,1530248400,56,-20.21,57.76,73.4,9.17
378,mao,75,DO,1530248400,94,19.55,-71.08,77.0,5.82
379,luau,0,CD,1530250478,41,-10.7,22.23,62.42,5.61
380,husavik,76,CA,1530250478,69,50.56,-96.99,65.66,2.93
381,gazanjyk,0,TM,1530250478,15,39.24,55.52,99.05,7.18
382,presidencia roque saenz pena,92,AR,1530250478,97,-26.79,-60.44,63.32,2.26
383,la asuncion,24,EC,1530250479,100,-1.64,-78.74,35.87,0.92
